generation,seed_0,seed_1,seed_2,seed_3,seed_4,seed_5,seed_6,seed_7,seed_8,seed_9,seed_10,seed_11,seed_12,seed_13,seed_14,seed_15,seed_16,seed_17,seed_18,seed_19,mean,std
36,348.46,333.82,338.72,289.22,382.89,330.08,347.99,370.62,345.53,353.05,232.30,226.16,225.87,218.56,224.80,332.26,379.15,331.87,324.67,334.26,313.51,54.46
37,353.70,353.77,320.37,294.77,330.19,335.99,320.15,374.89,365.99,347.79,230.18,227.12,215.39,236.33,221.23,305.39,312.89,318.99,308.75,314.69,304.43,49.57
38,352.76,341.64,300.56,274.46,328.30,329.05,353.43,361.52,369.57,434.40,228.28,233.88,228.73,224.48,219.68,333.13,358.28,317.83,347.20,314.53,312.59,57.96
39,333.26,352.35,301.28,266.49,372.96,324.99,310.71,397.53,349.77,369.60,228.85,239.63,213.47,233.39,224.97,318.65,331.19,344.59,330.16,334.01,308.89,53.82
40,343.64,338.53,321.81,253.71,335.64,321.24,333.93,376.74,360.84,366.35,231.71,224.42,223.07,234.97,221.29,348.11,306.61,328.07,341.87,348.30,308.04,52.69
41,316.71,350.46,327.81,300.51,341.23,336.10,341.81,399.03,427.56,330.22,225.41,230.39,223.35,228.09,216.27,353.65,325.29,320.30,329.02,338.49,313.09,57.72
42,332.34,346.86,334.84,284.57,326.63,340.54,313.22,360.95,347.46,364.26,222.31,223.51,214.74,239.54,232.94,329.68,369.85,324.66,343.27,311.68,308.19,50.82
43,358.08,356.73,338.17,298.67,325.97,332.88,341.49,344.56,342.22,350.61,224.78,230.17,215.28,223.68,224.22,329.17,319.03,318.86,333.61,319.39,306.38,49.70
44,289.30,355.04,311.76,282.86,333.89,332.71,323.19,379.25,364.71,369.76,234.13,235.45,218.86,226.34,222.88,342.38,319.53,317.92,318.70,329.77,305.42,50.63
45,371.11,361.98,342.46,280.36,335.62,333.82,317.46,402.16,349.63,364.28,227.81,225.33,226.09,251.98,221.89,332.00,377.84,324.03,362.40,324.35,316.63,55.73
46,329.25,335.71,321.55,279.35,380.66,324.06,344.30,367.79,375.50,374.38,232.40,235.03,229.30,240.96,236.77,360.94,359.18,325.20,390.18,327.90,318.52,54.35
47,321.79,357.31,349.81,289.50,345.28,337.66,304.15,374.33,356.18,385.07,222.66,223.66,222.63,253.55,231.79,334.52,338.36,341.45,362.20,331.29,314.16,52.72
48,326.11,358.97,324.78,263.63,368.48,343.67,452.44,347.45,422.30,377.71,228.85,225.93,221.16,238.20,221.89,340.35,315.21,319.46,366.78,325.68,319.45,65.44
49,340.19,334.98,365.75,282.12,340.52,345.58,312.46,352.20,346.78,462.70,233.13,227.09,224.80,245.99,224.06,306.09,328.54,330.63,393.83,334.09,316.58,60.47
50,353.34,350.09,345.88,240.67,327.49,329.04,323.37,344.20,376.21,424.34,225.94,232.85,230.86,244.11,219.67,354.07,302.29,322.50,391.02,321.20,312.96,58.95
51,376.71,335.83,360.21,262.69,379.28,329.07,363.16,373.16,434.53,421.87,229.54,229.94,215.85,227.99,223.52,367.42,338.60,327.13,350.54,330.92,323.90,66.50
52,322.24,357.13,327.41,286.16,355.95,342.09,340.41,372.01,388.89,366.39,243.81,223.43,226.31,238.15,225.91,319.56,339.11,359.49,363.75,316.53,315.74,53.54
53,345.06,346.69,333.48,272.76,352.98,342.84,342.79,355.07,356.71,391.35,238.60,228.73,223.96,223.02,220.24,334.51,346.22,330.42,350.07,337.30,313.64,54.08
54,320.05,338.25,349.82,265.89,339.57,329.48,339.74,363.44,353.14,414.52,231.08,230.71,217.59,246.32,238.35,341.50,327.20,325.89,333.04,341.27,312.34,52.63
55,382.51,348.39,334.01,261.60,334.52,330.43,335.37,359.39,350.11,365.38,232.73,224.54,219.08,246.08,222.49,323.99,351.68,352.78,380.12,347.81,315.15,55.36
56,311.60,342.37,348.76,288.94,332.17,356.76,330.09,385.46,392.63,409.98,241.47,225.93,236.93,232.64,228.44,330.09,374.62,337.33,370.80,348.80,321.29,57.58
57,363.65,364.75,347.79,290.01,393.04,335.83,337.09,376.21,354.03,395.94,247.06,219.56,223.19,220.94,222.78,306.51,349.61,326.61,385.91,349.53,320.50,59.96
58,320.48,343.38,340.54,321.08,368.64,335.46,353.22,342.70,373.92,369.49,240.26,225.21,212.98,237.77,221.39,328.89,374.56,343.18,330.49,321.60,315.26,53.43
59,312.57,352.80,333.00,269.31,347.02,357.63,361.62,375.11,383.01,418.74,227.89,227.32,217.95,239.89,219.23,323.37,325.69,339.71,373.68,369.11,318.73,60.94
60,308.42,366.52,347.79,254.14,395.23,331.60,330.97,374.32,364.58,386.28,227.99,228.12,221.49,243.02,220.05,348.37,404.41,331.26,376.44,317.12,318.90,61.81
61,330.83,344.53,347.20,279.94,359.51,339.74,319.42,358.91,418.30,388.64,239.96,228.15,225.05,229.12,231.19,311.49,309.49,346.50,369.02,319.33,314.82,56.42
62,317.66,352.74,369.37,270.49,380.56,330.51,306.15,377.07,360.98,426.88,231.01,221.41,216.06,239.34,225.46,348.52,343.85,337.16,380.27,286.88,316.12,61.76
63,372.32,345.70,315.66,303.76,353.94,357.70,323.43,380.25,355.06,407.74,235.93,234.05,226.74,223.71,223.77,354.86,375.41,348.65,362.08,352.58,322.67,58.44
64,311.35,354.87,426.89,271.01,340.62,337.40,294.16,358.80,358.88,375.67,232.51,234.69,225.04,220.84,225.66,364.93,359.11,351.81,357.05,311.69,315.65,59.55
65,368.37,374.15,367.36,303.29,357.90,327.63,361.58,366.51,382.12,391.66,251.80,223.38,229.30,250.55,231.81,336.69,348.42,334.92,405.56,315.23,326.41,56.93
66,313.92,369.13,342.61,264.18,357.68,354.47,344.64,364.06,346.90,397.57,228.81,227.37,216.31,232.13,227.75,328.36,347.80,348.25,398.09,308.04,315.90,58.91
67,305.67,341.21,343.43,286.69,349.39,347.92,333.58,372.50,364.20,382.78,231.40,228.63,221.91,233.50,224.01,352.61,343.54,348.92,363.44,312.33,314.38,54.35
68,303.58,367.18,354.20,261.04,377.37,352.75,322.22,366.59,451.71,371.94,228.67,232.14,220.74,255.94,244.84,333.70,349.92,344.10,406.28,305.82,322.54,62.68
69,340.81,366.76,359.25,274.28,394.26,350.46,369.15,362.08,361.30,399.27,229.36,240.32,232.56,227.00,221.51,364.90,367.06,338.03,405.03,335.36,326.94,61.84
70,359.36,342.25,374.40,270.22,368.45,339.64,380.95,370.48,375.41,404.97,221.51,231.21,217.24,253.65,217.24,328.88,336.97,336.82,380.35,328.96,321.95,60.90
71,312.64,345.42,410.37,272.65,328.70,341.24,315.19,365.32,387.07,390.04,223.16,224.94,231.01,247.20,235.45,390.04,326.46,331.30,393.52,321.03,319.64,60.16
72,331.91,338.82,376.49,284.05,357.88,338.73,328.68,352.93,371.94,389.09,226.84,228.20,226.43,242.10,227.36,353.06,371.29,338.54,386.67,345.77,320.84,57.04
73,315.46,358.08,352.52,303.98,385.48,342.54,313.85,369.22,360.63,382.54,230.60,245.19,230.42,246.77,225.09,356.61,381.22,327.53,429.37,330.91,324.40,58.49
74,352.79,339.08,362.33,266.07,384.64,361.04,331.93,437.10,383.77,394.83,228.58,242.16,227.36,251.34,227.77,348.74,339.88,343.14,391.81,307.68,326.10,62.47
75,350.83,364.34,398.51,291.44,379.51,331.01,361.14,372.45,377.21,378.60,246.82,229.28,223.60,227.68,220.64,355.13,355.75,334.84,361.50,331.10,324.57,59.22
76,300.22,339.89,363.84,272.86,364.89,333.41,379.15,359.56,374.09,383.45,233.88,247.78,218.88,231.77,227.86,414.72,356.17,334.63,414.87,305.99,322.90,62.37
77,336.55,361.06,367.78,325.01,364.73,345.37,371.97,364.10,359.93,394.42,237.74,229.51,214.89,243.99,218.96,411.53,344.94,349.45,460.29,364.27,333.33,66.57
78,362.49,358.41,376.92,264.57,381.86,344.27,322.49,362.90,347.62,390.82,230.83,228.35,223.47,232.03,221.33,351.02,388.49,348.86,399.80,338.41,323.75,62.32
79,360.10,351.06,356.96,289.78,405.12,353.41,330.49,380.23,370.11,387.91,226.84,228.19,224.19,233.78,222.22,356.37,341.40,332.16,439.06,318.54,325.40,64.37
80,319.64,358.55,400.54,294.79,377.68,373.28,370.78,355.84,358.96,404.30,228.55,238.99,222.66,239.43,230.03,354.59,368.87,340.51,407.94,333.32,328.96,61.87
81,371.24,376.07,367.09,308.35,375.35,342.77,368.26,375.33,375.16,377.27,248.36,224.46,227.65,251.03,217.89,352.45,357.91,335.43,408.29,321.79,329.11,59.27
82,342.89,358.56,353.18,302.99,366.26,344.42,332.96,372.96,408.41,414.26,231.68,225.92,229.29,229.06,220.94,365.16,366.35,342.94,433.73,318.68,328.03,65.24
83,347.71,334.31,400.62,269.40,383.62,346.95,415.98,371.39,363.36,424.90,240.57,226.12,227.06,230.51,230.50,353.05,321.61,335.41,498.34,316.82,331.91,74.04
84,317.26,354.53,379.41,275.81,358.00,348.18,360.93,355.26,340.03,390.29,239.17,223.41,218.36,233.21,224.42,365.38,363.86,335.73,417.44,322.62,321.17,60.72
85,324.36,343.49,424.34,261.06,356.58,368.45,319.21,362.27,347.51,386.91,230.86,222.35,216.95,223.57,229.67,380.44,337.66,338.65,392.90,324.81,319.60,63.58
86,321.83,365.01,368.17,256.98,339.29,352.44,330.89,357.02,387.88,397.92,237.78,228.49,219.94,242.59,222.85,369.59,367.52,342.63,379.82,339.70,321.42,59.85
87,364.49,360.56,383.94,317.25,434.90,345.70,351.31,379.65,393.14,410.48,229.99,228.24,234.57,236.43,224.22,361.61,354.56,341.45,402.93,334.41,334.49,65.54
88,325.67,355.91,364.32,267.52,371.61,353.73,324.08,377.58,372.07,396.53,247.29,227.84,215.48,224.78,226.74,364.62,350.66,340.67,451.89,310.63,323.48,65.12
89,358.80,345.55,396.44,273.33,359.78,354.45,329.59,356.91,369.44,406.28,225.26,225.78,214.55,245.35,237.68,372.36,361.08,332.69,410.04,344.14,325.98,62.52
90,341.95,362.55,392.68,300.33,346.32,335.33,380.48,363.45,375.54,370.17,238.57,226.39,236.24,228.64,224.57,383.36,348.83,351.79,447.88,335.86,329.55,63.46
91,378.76,350.66,430.81,280.35,367.28,338.77,340.29,369.35,422.18,386.59,252.07,217.18,232.32,223.83,227.98,376.89,362.08,354.85,430.61,301.02,332.19,68.92
92,330.42,351.41,361.44,287.88,385.91,337.51,363.66,367.11,347.01,379.59,242.44,234.20,230.75,252.31,229.63,372.07,361.21,369.80,420.84,349.67,328.74,58.05
93,361.00,345.67,348.81,280.76,392.00,348.26,324.03,382.27,386.25,383.40,244.83,232.47,225.93,226.41,225.00,373.84,360.58,328.60,447.35,321.55,326.95,64.35
94,352.13,347.03,364.61,279.92,395.68,368.77,338.25,368.40,413.90,405.56,235.93,231.07,229.71,231.85,224.91,381.97,361.31,344.57,435.01,336.15,332.34,66.64
95,348.16,345.90,389.99,269.93,360.59,336.35,362.89,356.28,359.88,409.29,240.50,223.51,225.50,227.22,227.56,393.29,356.74,346.03,441.99,344.88,328.32,65.85
96,351.21,344.66,400.30,294.66,383.33,336.12,375.69,384.93,357.83,440.20,241.95,233.24,216.98,240.75,235.57,340.62,350.75,362.28,417.93,344.85,332.69,64.78
97,350.79,351.31,385.91,297.45,410.00,342.06,311.71,358.12,355.54,397.34,242.60,223.59,220.71,237.91,227.03,357.12,357.48,366.37,435.37,358.58,329.35,64.28
98,312.63,361.40,394.08,306.54,351.32,345.42,355.61,344.49,355.71,418.04,238.06,227.55,221.43,250.48,236.74,371.27,344.21,337.10,387.58,319.17,323.94,57.59
99,330.42,339.80,370.59,274.84,353.53,353.34,363.44,357.66,369.26,388.53,236.91,236.20,234.40,235.65,233.28,372.15,344.35,337.59,443.56,331.78,325.36,60.04
